Q,A1,A2,A3,A4,Anum
"""I have felt sick all day."" ""You Should see a  -----""
「一日中気分が悪いんです。」「----- を受診すべきです。」","engineer
エンジニア","clerk
事務員","sir
先生","doctor
医師",4
"She kept ----- working until late at night.
彼女は夜遅くまで ----- 働き続けました。","on
続けた","with
？","in
？","from
？",1
"Tie down anything that might blow away in the ------.
----- で飛ばされそうなものはすべて固定してください。","storm
嵐","ray
光線","tempreature
温度","shadow
影",1
"The basket is ----- of apples.
そのカゴはリンゴで ---- です","less
少ない","full
いっぱい","empty
から","several
いくつかの",2
"Will you be ----- to come to a meeting next week?
来週、会議に来て ---- ですか？","actually
実際に","able
できる","especially
特に","hardly
ほとんど~ない",2
"Have you made ----- your neighbors yet?
隣人ともう ----- なりましたか？","friends with
親しくなる","up
？","me
？","sure of
確かめる",1
"My friends ----- my hairstyle.
私の友達は私の髪形を-----","kept in touch with
連絡を保った","kept up with
続いた","made fun of
からかった","made up their mind
決心した",3
"There has been a sudden rise in ----- over the past few days.
過去数日間で ----- が急増しています。","atmosphere
大気","tempreature
温度","branch
枝","earthquake
地震",2
"We can buy ----- fish in this market.
この市場では-----魚を買うことができます。","professional
プロの","fresh
新鮮な","clear
澄んだ","wise
賢い",2
"We hired a ----- in Rome.
私たちはローマで ----- を雇いました。","desert
砂漠","field
野原","guide
ガイド","storm
嵐",3
"Cherry ----- are at their best now in the mountains.
山の桜は今、----- が見頃です。","fields
野原","shadows
影","branches
枝","blossoms
（果樹の）花",4
"It is a ----- that smoking is a danger to health.
喫煙が健康にとって危険であるというのは ----- です。","authority
権威者","clear
澄んだ","fact
事実","wise
賢い",3
"She wore a ring with a -----.
彼女は ----- の指輪をしていました。","jewel
宝石","excited
興奮して","silver
銀","surprising
驚くべき",1
"She went to New York to become a musical -----.
彼女はミュージカルの ----- になるためにニューヨークへ行きました。","doctor
医師","anoouncer
アナウンサー","passenger
乗客","actor
俳優",4
"The earth's ----- is many miles thick.
地球の ----- は何マイルもの厚さがあります。","storm
嵐","tempreature
温度","atmosphere
大気","feature
特徴",3
"I ----- a careless mistake.
私は不注意な間違いを -----。","did
？","achieved
成し遂げる","got
得た","made
作った",4
"He read the ----- book, not just a part of it.
彼は ----- 本を読みました。一部だけではありません","whole
全体","full
いっぱいの","several
いくつかの","extra
余分な",1
"Let's meet on Friday if it's ----- of you.
金曜日に会いましょう、もし ----- でしたら。","convenient
都合のよい","femiliar
よく知られた","empty
からの","precious
貴重な",1
"I think you made a ----- choice.
私はあなたが ----- 選択をしたと思います。","truth
真実","meaning
意味","wise
賢い","several
いくつかの",3
"You must put your textbook ----- in your bag before taking the exam.
試験を受ける前に、教科書をカバンに-----必要があります。","off
？","up
？","away
片付け","in
？",3
"Some bacteria live on ----- plants and animals.
いくつかのバクテリアは、-----な植物や動物に生息しています。","dead
死んだ","aware
気づいて","unable
できない","unlike
~と違って",1
"""Is this your car, -----?"" asked the policeman. She said ""Yes, it's mine.""
「これはあなたの車ですか、-----？」と警察官が尋ねた。彼女は「はい、私のものです」と言いました。","certain
間違いない、確信","yourself
あなた自身","sir
先生","madam
奥様",4
"No one can ----- him at chess.
誰もチェスで彼に-----ことはできません。","bite
噛む","beat
打ち負かす","hit
殴る","deliver
配達する",2
"Toyota introduced the latest ----- at the car show.
トヨタは自動車ショーで最新の-----を発表しました。","model
模型","atmosphere
大気","blossom
（果樹の）花","guide
ガイド",1
"She was ----- of the serious situation.
彼女は深刻な状況に----していた。","angry
怒って","aware
気づいて","hit
殴る","sick
うんざり",2
"A lot of people try to ----- peace in the region.
多くの人々が地域の平和を-----しようとしています。","fill
満たす","put
入れた","pay
支払う","bring
もたらす",4
"It was ----- to sleep because of the noise.
うるさくて眠るのが-----でした。","hardly
ほとんど~ない","able
できる","impossible
できない","almost
ほとんど",3
"I haven't made ------ whether I will go skiing this weekend?
今週末スキーに行くかどうか、まだ-----していません。","up my mind
決心する","in torch with
？","fun of
からかう","sure of
確かめ",1
"It is important for us to control -----.
私たちにとって-----をコントロールすることは重要です。","yourself
あなた自身","oneself
自分自身","angry
怒って","ourselves
我々自身-",4
"My mother got ----- with me for breaking her favorite cup.
私の母は、私がお気に入りのカップを割ったので、私に -----。","angry
怒って","weak
弱い","beaten
打ち負かされた","unfair
不公平な",1
"----- your hand over your mouth when you cough.
咳をするときは、口元に手を-----。","Bring
","Clear
","Mind
","Put
",4
"Are you ----- with this type of machine?
あなたはこの種の機械に-----ですか？","wise
","lucky
","familiar
","fresh
",3
"I like fruits, ----- ripe ones.
私は果物が好きです、-----熟したもの。","able
","possible
","especially
","hardly
",3
"Would you ----- exchanging seats? I prefer the aisle seat.
席を交換するのを-----ですか？通路側の席の方がいいです。","put
","bring
","mind
","lend
",3
"Keep this lesson -----mind when you go abroad in the future.
将来海外に行くときには、この教訓を心に-----。","with
","in
","at
","for
",2
"Poverty brings ----- many social problems.
貧困は多くの社会問題を-----。","about
","up
","at
","back
",1
"They were ----- to hear the news.
彼らはその知らせを聞いて-----でした。","surprising
","unlike
","surprised
","unknown
",3
"The fine weather kept ----- for three days.
良い天気が3日間-----続いた。","in
","with
","up
","from
",3
"The salesperson described to us the car's many -----.
セールスマンは私たちに車の多くの-----について説明しました。","earthquakes
","branches
","features
","sources
",3
"They went to the forest to ----- wild birds.
彼らは野鳥を-----ために森へ行った。","dead
","hire
","hunt
","certain
",3
"There was a ladder ----- against the wall.
壁に梯子が-----立てかけてあった。","ringing
","pulling
","leaning
","picking
",3
"I was ----- with work and wanted to do something different.
私は仕事が-----なので、何か違うことをしたかった。","boring
","interesting
","interested
","bored
",4
"He is the highest ----- on modern architecture.
彼は現代建築における最高の-----だ。","mind
","wise
","authority
","professional
",3
"My grandfather spent his ----- during wartime.
私の祖父は戦時中に-----を過ごした。","pattern
","board
","youth
","shape
",3
#NAME?,"Almost
","Especially
","Hardly
","Perhaps
",4
"Except for one old lady, the bus was -----.
ひとりのおばあさんを除いて、バスは-----だった。","full
","precious
","empty
","equal
",3
"You should make ----- the facts before you write something.
何かを書く前に、事実を-----するべきだ。","sure of
","up your mind
","friends with
","fun of
",1
"Southern California has a large -----.
南カリフォルニアには大規模な-----がある。","fail
","actually
","suffer
","desert
",4
"He is a distant ----- of time.
彼は時の-----である。","leader
","youth
","relative
","clerk
",3
"Nobody paid the ----- attention to me.
誰も私に-----な注意を払わなかった。","several
","whole
","less
","least
",4
"Put ----- your hand when you ask a question.
質問するときは手を-----なさい。","on
","up
","away
","back
",2
"I'm ----- in working abroad.
私は海外での仕事に-----があります。","unable
","interested
","unlike
","interesting
",2
"Can I ----- a suggestion?
提案を-----もいいですか？","keep
","lean
","pick
","make
",4
"The building cast a long ----- on the field.
その建物は畑に長い-----を落とした。","shadow
","bloom
","tempreature
","desert
",1
"You can have coffee at no ----- change.
コーヒーを無料で-----できる。","equal
","extra
","convenient
","several
",2
"When camping, make sure you find a clean ----- of drinking water.
キャンプするときは、きれいな-----の飲料水を見つけるようにしてください。","ray
","tempreature
","source
","model
",3
"I ----- a letter from my cousin in Hawaii.
ハワイのいとこから手紙を-----。","rang
","pulled
","received
","swung
",3
"He looks like a fool, but ----- he is not.
彼は愚かに見えるが、-----そうではない。","actually
","especially
","hardly
","almost
",1
"I asked him to ----- me his dictionaly.
彼に辞書を-----ように頼んだ。","pay
","borrow
","receive
","lend
",4
"It was brave of you to tell her the -----.
彼女に-----を伝えたのは勇敢だった。","truth
","precious
","mind
","authority
",1
"She sat on the desk ----- her legs.
彼女は足を-----て机に座った。","digging
","borrowing
","swinging
","lending
",3
"""Report back to me in an hour, Paul."" ""Yes, -----.""
「1時間以内に私に報告して、ポール」「はい、-----。」","passenger
","sir
","certain
","youth
",2
"He ----- quiet throughout the meeting.
彼は会議中ずっと-----静かだった。","rang
","kept
","pulled
","made
",2
"I saw a UFO last night, It had a round -----.
昨夜UFOを見た。それは丸い-----だった。","shape
","silver
","pattern
","surprising
",1
"We are now ----- from diseases that didn't exist 100 years ago.
私たちは今、100年前には存在しなかった病気から-----いる。","failing
","suffering
","keeping
","injuring
",2
"I'll ----- you by email.
メールであなたに-----する。","keep an eye on
","keep in touch with
","keep up with
","keep on
",2
"In 1945 ----- all of Africa was ruled by Europeans.
1945年には、アフリカ全土がヨーロッパ人によって-----された。","able
","hardly
","possible
","almost
",4
"I found the conclusion of his book very -----.
彼の本の結論は非常に-----だとわかった。","interested
","surprised
","surprisingly
","interesting
",4
"There are ----- books on the table.
テーブルの上に-----冊の本がある。","wise
","empty
","several
","perfectly
",3
"She has a very good ----- for people's names.
彼女は人の名前を覚えるのがとても-----。","extra
","fear
","memory
","reason
",3
" ----- you, I'm not a great dancer.
-----あなた、私は素晴らしいダンサーではありません。","Unfair
","Certain
","Unlike
","Unknown
",3
"He was brought ----- to respect his parents.
彼は両親を尊敬するように-----られた。","about
","in
","up
","back
",3
"She has great strength of -----.
彼女は-----の力が強い。","certain
","aware
","hit
","spirit
",4
"The water of the lake was very -----.
湖の水はとても-----だった。","meaning
","clear
","full
","wise
",2
"The chemical symbol ""Ag"" stands for -----.
化学記号「Ag」は-----を表す。","aluminium
","gold
","silver
","copper
",3
"Can you explain the ----- of this word?
この理論の-----を説明できますか？","convenient
","fresh
","meaning
","memory
",3
"The professor ----- to prove his theory.
教授は自分の理論を証明するために-----。","failed
","suffered
","injured
","leaned
",1
"I got the inner ----- of my bicycle tire replaced.
自転車のタイヤのインナー-----を交換してもらった。","board
","tube
","shape
","patter
",2
"We are pleased to ----- the opening of a new shop in Kyoto.
京都に新しい店がオープンすることを-----喜んでいる。","announcing
","announcer
","announcement
","announce
",4
#NAME?,"Passengers
","Doctors
","Clerks
","Relatives
",1
"He put a wallet ----- the pocket.
彼は財布をポケットに-----た。","off
","up
","in
","out
",3
"""Please take a look at my computer and tell me what is wrong."" ""-----, To me, it looks like there is a problem with the screen.""
「私のコンピューターを見て、どこが悪いか教えてください」「-----、私には画面に問題があるように見えます。」","Certainly
","Actually
","Maybe
","Perhaps
",2
"Some insects are so small that you can ----- see them.
一部の昆虫は非常に小さいので、-----見ることができる。","impossible
","hardly
","maybe
","almost
",2
"I'm ----- he'll come to rescue me.
彼が私を助けに来てくれることを-----している。","certain
","unknown
","hunted
","bitten
",1
"We were in the middle of a meeting when the phone -----.
会議中に電話が-----。","rung
","ringing
","rang
","ring
",3
"I was glad that the car was in ----- condition.
車が-----状態だったので嬉しかった。","ectra
","whole
","equal
","perfect
",4
"How ----- that news is!
そのニュースはなんて-----なんだ！","interestingly
","surprising
","interested
","surprised
",2
"You students ought to be proud of -----.
学生の皆さんは-----を誇りに思うべきだ。","themselves
","yourself
","yourselves
","himself
",3
