Q,A1,A2,A3,A4,Anum
昨晩は十分に寝たので、今日は一日中元気でした。,,,,,0
手洗いはあなたが風邪をひくことを防ぎます。,,,,,0
,,,,,
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
,,,,,
,,,,,
私はピザにパイナップルを載せるのは変だと思います。,,,,,0
,,,,,
,,,,,
,,,,,
彼女は昼食を食べずに働く続けました。,,,,,0
,,,,,
,,,,,0
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
,,,,,
,,,,,
私は中国へ留学するという決断をしました。,,,,,0
,,,,,
,,,,,
,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
食べすぎないことが健康にとって大切です。,,,,,0
,,,,,
その映画を見て私は泣いてしまった。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
私にスペイン語を教えてくれる人を探しています。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
,,,,,0
,,,,,
,,,,,
,,,,,
昨晩はあまりにも眠くて勉強できませんでした。,,,,,0
,,,,,0
,,,,,
彼は笑われるのが好きではありません。,,,,,0
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
ホワイトさんは娘に車の運転免許をとることを許しました。,,,,,0
たくさん宿題があったので兄に手伝ってくれるようにお願いしました。,,,,,0
,,,,,
私は友達とゲームをするのが好きです。,,,,,0
私にはリラックスできる時間がありません。,,,,,0
,,,,,
,,,,,
,,,,,
サオリは友人たちと話しながら公園の中を歩きました。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
日光は何度か訪れる価値があります。,,,,,0
,,,,,
,,,,,
,,,,,
彼はバイオリンを弾くのが好きです。,,,,,0
彼は何時間も勉強することに慣れています。,,,,,0
,,,,,
,,,,,0
,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
母は海外に行きたいと思っています。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
多くの日本人学生は英語を練習するためにオーストラリアに行きます。,,,,,0
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
祖父が建てた家は築70年になります。,,,,,0
,,,,,
以前彼女にあったことがあったので、パーティーでメアリーをすぐに見つけました。,,,,,0
ドイツ語を話すことは難しいとわかりました。,,,,,0
,,,,,
,,,,,
,,,,,
彼女のアイディアは興味深く聞こえます。,,,,,0
,,,,,
,,,,,
母は私にすぐに部屋を掃除するように言いました。,,,,,0
新しい友達を作ることはそれほど簡単ではありません。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
そんなことを信じるなんて彼は愚かにちがいありません。,,,,,0
,,,,,
,,,,,
ユキの隣に座っている女の子はカナとベスです。,,,,,0
,,,,,
私はおじにピアノの弾き方を尋ねました。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
昼食に何を食べたらよいかわかりません。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
部屋に一人残されて男の子はテレビゲームをはじめました。,,,,,0
,,,,,
,,,,,
ご連絡をいただきとてもうれしく思います。,,,,,0
姉に助けてもらって私はレポートを締め切りまでに終えることができました。,,,,,0
,,,,,
,,,,,
彼は午後ずっと図書館で試験勉強をして過ごしました。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
私にはやるべき宿題がたくさんある。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
彼はきっとそのレースに勝ちます。,,,,,0
,,,,,
彼女は孫たちに囲まれて座っていました。,,,,,0
,,,,,
海で泳いでいるとき遠くに大きな船が見えました。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
何か飲み物をいただけますか。,,,,,0
,,,,,
,,,,,
彼らは試合の結果を聞いて驚いているようでした。,,,,,0
,,,,,
,,,,,
彼女はコンサートのチケットを手に入れるために5時に起きました。,,,,,0
この本は子供たちが読むのに十分やさしい。,,,,,0
彼女は大きくなって有名な作家になりました。,,,,,0
,,,,,
二度と遅刻しないようにするべきです。,,,,,0
,,,,,
,,,,,0
,,,,,
,,,,,
彼のスピーチは理解するのが難しかった。,,,,,0
,,,,,
その川で泳ぐのは危険です。,,,,,0
,,,,,
,,,,,
,,,,,
今日の夕方1時間以上、電車を待ちながら立っていました。,,,,,0
,,,,,
,,,,,
私はビルに英語の宿題を手伝ってくれるように頼みました。,,,,,0
,,,,,
,,,,,
姉の趣味は写真を撮ることです。,,,,,0
,,,,,
,,,,,
私はメアリーが通りを渡るのを見た。,,,,,0
彼女はどこでバスに乗ったらよいかわかりませんでした。,,,,,0
,,,,,
,,,,,
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
,,,,,
,,,,,
両親は私の良い成績を聞いて大喜びした。,,,,,0
私はあまりに楽しくて踊りたい気分です。,,,,,0
ベンチで泣いている男の子は母親からはぐれていました。,,,,,0
,,,,,
,,,,,
,,,,,
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
,,,,,
彼女はその薬をいつ飲んだらよいか私に尋ねました。,,,,,0
彼は昨夜、数時間ラジオを聞き続けました。,,,,,0
考えすぎないようにしなさい。,,,,,0
,,,,,
忙しくなかったので彼女は買い物に出かけました。,,,,,0
お手伝いしなくて申し訳ありません。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,0
,,,,,
出発する用意はできていますか。,,,,,0
,,,,,
新聞を読むのは退屈なときもあります。,,,,,0
,,,,,
,,,,,
,,,,,
,,,,,
私はサッカーチームに入らないことに決めました。,,,,,0
,,,,,
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
,,,,,
,,,,,
父は私に科学者になってほしいと思っています。,,,,,0
,,,,,
,,,,,
,,,,,
(　)内の動詞を適切な形にする。ただし1語とはかぎらない。,,,,,0
