Q,A1,A2,A3,A4,Anum
彼はとても知的な人だと思う----、多くの人は私に同意しない。,が,誰,～のために,どちら,1
彼が時間通りに荷物を届けるのを----ので、上司の誕生日にあげるものが何もなかった。,失った,逃した,怠った,辞めた,3
スタジアムには特別な席があり、----人々は飲食しながら試合観戦ができる。,どちら,そこで,その～,あれ,2
ジェーンは耳の長い犬を飼っている。,何,（関係代名詞）,誰,その～,2
猫が眠っている椅子はイタリア製だ。,その上で,（関係代名詞）,その～,あれ,1
ブレット氏は遅くまで働いていた----電車に乗り遅れた。,後,あれ,まで,ので,4
もしあなたが私に助けを----なら、私はあなたを助けただろうに。,頼む,頼んでいた,頼んだ,頼むだろう,2
私たちの市は20年前の姿とは大きく異なっている。,どちら,あれ,なぜ,もの,4
彼は試験に合格----一生懸命勉強した。,～のために,代わりに,するように,さもなければ,3
昨夜あんなに----よかったのに。今、気分がひどく悪い。,飲まなければ,飲んでいない,飲まない,飲まないだろう,1
パソコンが----、異なる時間帯に住む人々と連絡を取るのはもっと難しくなるだろう。,～があれば,あれば,もし～がなかったら,なければ,4
ジョンは試験で----間違いをしなかった。,間違いをしない,いくつか間違いをした,ほとんど間違いをしなかった,全く,4
今日初めて会ったのに、まるであなたが私の旧友----ように感じる。,である,である,ようだ,だろう,2
もし彼女が定時に退社----、私たちと一緒に夕食をとっていただろう。,退社できれば,退社できるなら,退社するなら,できていれば,4
10時までに帰ってくる----、外出してもよい。,遅く,速く,限り,早く,3
もし彼が母親の言うことを----、そんな間違いはしなかったかもしれない。,すべき,～でない限り,聞いていれば,想定された,3
もしあなたの助けが----、私はコンテストで優勝できなかっただろう。,なかったら,なかったら,ないなら,ないなら,2
私にはオーストラリアに住んでいる叔父がいる。,どこ,（関係代名詞）,どちら,誰,2
彼女は政治情勢が不安定な国の出身だ。,あれ,その,その～,どちら,3
彼はそこで私に会ったと言ったが、それは嘘だった。,それは,その～,あれ,何,1
ジョンはビルより10cm背が低く、ビルはトムより10cm背が低い。したがってジョンはトムより20cm背が低い。,その身長は,そしてビルは,その身長は,ありえない,2
彼女がクラスメートと同じくらい効率的に書けるようになる----長い時間がかかるだろう。彼女には取り戻すべきことがたくさんある。,かどうか,までに,前に,前に,3
パーティーであなたに紹介した女の子を覚えていますか？,いつ,どちら,（関係代名詞）,その～,3
もし西アフリカを旅行----、700以上の異なる言語に出会うだろう。,持っていた,すべき,するなら,できる,3
これが私が答えられなかった唯一の問題だ。,誰,その～,（関係代名詞）,誰,3
A: なぜ出かける準備ができていないの？ B: 準備できてるよ。 A: どうして？ 外は凍えるほど寒いのに、----あなたは短パンとTシャツを着ている。,～として,それなのに,～のために,だから,2
彼は父親が言った----を忘れなかったので、トラブルに巻き込まれなかった。,こと,こと,どちら,～として,2
ジムが作ったピザはあまり美味しくなかった。,その～,誰,（関係代名詞）,何,3
部屋が黄色く塗られた----、素敵で明るく見える。,今や,～以来,～でない限り,～ない,1
もしこの人を----、私に電話してください。,見たら,見るなら,見かけたら,見た,3
彼が怒った----を知らない。,何,理由,いつ,どちら,2
もう少し努力----、あなたは成功していただろう。,～のために,～がなければ,～があれば,～のおかげで,3
あれはチャイナタウンに行くバスだ。,どこ,（関係代名詞）,その～,いつ,2
「彼はスキーが上手だね。」「うん、本当に。彼のように----いいのに。」,滑るだろう,滑る,滑れる,滑れたら,4
彼女が私を訪ねてくるとは思わないが、もし私が留守の間に彼女が----、会社の詳細を伝えてください。,来るだろう,来ていた,来た,万一来たら,4
もし彼が彼女の言うことを聞いていたら、そんな間違いは----。,しなかったかもしれない,しないだろう,するかもしれない,しただろう,1
もし私が裕福なら、船を----。,買うだろう,買うのに,買える,買っただろう,2
もし答えを知っていたら、あなたに----。,教えるだろう,教えられるのに,教えられたのに,教えられる,2
試験が----、常に答えを見直すべきだ。,どんなに簡単でも,どんなに簡単でも,どんなに簡単でも,どんなに簡単でも,3
私が気になっているのは、あなたが言ったことではなく、その言い方----。,間,なぜなら,だ,～でない限り,3
関係者全員が幸せになる----稀な状況だ。,場所,何,どちら,ような,4
もしまた世界大戦が----、世界の終わりになるかもしれない。,ありうる,だろう,万一起これば,かもしれない,3
彼の助言----、私たちは決して仕事を時間通りに終えられなかっただろう。,受け入れた,除いて,なければ,がなければ,4
A: あなたの国では雪がたくさん降りますか？ B: いいえ、雪は----降りませんが、風の強い天気は一般的です。,ほとんど～ない,ただ,少し,どちらも～ない,1
チエコはついに家と呼んで満足できる場所を見つけた。,誰,（関係代名詞）,いつ,何,2
ウォルト叔父さんが旅行から帰ってくるまで----だろう。,まもなく,いつ,後,間,1
10年前にあなたが行った城を覚えていますか？,どちら,いつ,何,どこ,4
私の知る----、当館にはその主題に関する本は2冊しかない。,はるかに,決して～ない,これまでのところ,限り,4
必ず宿題をやりなさい、----また困ったことになるよ。,さもなければ,それから,～のために,そして,1
私たちが宇宙旅行を楽しめる時がすぐに来るかもしれない。,いつ,どこ,どちら,～として,1
もし彼がパーティーに----、もっと楽しかっただろう。,いたら,いた,いる,いたら,4
横浜は私が生まれた街だ。,あれ,いつ,どちら,どこ,4
2006年以降、彼はダウンタウンの図書館で働き、----2014年に館長になった。,間,そこで,どちら,いつ,2
私はあなたに初めて会った日を忘れることができない。,どう,どこ,何,いつ,4
メアリーはプロジェクトチームに遅れて参加した----、上司は彼女がすぐに馴染むと確信している。,除いて,にもかかわらず,けれども,しかしながら,3
----進路をとろうとも、多くの困難に直面することは確実だ。,どこでも,どの,どんなに,いつでも,2
その男はまるで英語のネイティブスピーカー----ように話す。,だろう,であった,である,である,3
来週の金曜日までに返してくれる----、この本を借りてもいいよ。,同様に,同様に,限り,可能性が高い,3
インターネットは一時的な流行だと言う人もいれば、----人類史の転換点だと信じる人もいる。,考慮して,判断すると,間,一方で,4
家を出る前にあなたがここにいると知っていたら、あなたの本を----のに。,持ってきた,持ってきた,持ってくる,持ってきただろう,4
もし試験の性質を知っていたら、過去数週間の新聞をもっと注意深く----のに。,読んでいた,読んだだろう,読んだ,読んでいた,2
彼は2週間入院している。それが彼が来られない----だ。,何,いつ,理由,どう,3
あなたの助けがなかったら、私はその試みで命を----。,失うだろう,失っていただろう,失った,失った,2
ここは私が生まれた病院だ。,その中で,どちら,そこで,その中で,3
それはナガノ氏が応募した職だが、最終決定はまだなされていない。,あれ,（関係代名詞）,何,誰,2
私にとっての主な問題は、いつも眠い----だ。,いつ,何,こと,どちら,3
もしロバートが会議について----、彼はきっと来ただろう。,知っていたら,知っている,知った,知っている,1
子供時代を過ごした家を覚えていますか？,どこ,（関係代名詞）,いつ,誰,2
私が話しかけた一番年下の男の子でさえ、遠足を楽しんでいるようだった。,彼らに話しかけた,私が彼らに話しかけた,私が話しかけた,私が話しかけた,4
生徒たちは忘れない----、先生のメールアドレスを書き留めた。,万一,ように,限り,これまでのところ,2
スキャンダルがなかったら、彼は選挙に----。,勝たない,勝つ,ありうる,勝てただろう,4
もしあの橋から落ちたら、あなたを救助するのはほぼ不可能----。,だった,だっただろう,だろう,である,3
スーザンはジョンの申し出を断るつもりだ。もし私が彼女----、そんなことはしないだろう。,なら,だろう,だったなら,だったなら,1
意味をよく理解していない言葉を使ってはいけない。,その～,どちら,いつ,誰,1
もし私があなたなら、数週間前にレポートを----。,準備する,準備するだろう,準備する,準備した,2
彼の新しいテレビドラマは、実話に基づいている----以前のものとは異なる。,何,点において,どちら,場合,2
「ジャックはパーティーにいましたか？」「いなかったと思う。もしいたら、私は彼に----。」,会った,会っていただろう,会うだろう,会った,2
相対性理論は、物理学の多くの現代理論が基づいている理論だ。,その～,それの,あれ,それの上に,4
ここではこんなに雨が----いいのに。,降らない,降っていない,降らない,降らなければ,4
もし彼が締め切りについて私に----、私はレポートを遅れて提出していただろう。,思い出させない,思い出させてくれなかったら,思い出させられた,思い出させない,2
もしロイがその会社の評判を----、その機械を買わなかっただろうと私たちは確信している。,知った,知っている,知る,知っていたら,4
私たちの近所で働いている警察官が今日表彰される。,誰,どちら,（関係代名詞）,どこ,3
私の知る----、彼はクラスで一番のサッカー選手だ。,長く,良く,限り,すぐに,3
あなたか私のどちらかが新しい上司の歓迎会を企画することに----が、私は今とても忙しい。,なっている,なる,なっている,なるだろう,3
呼ばれる----この部屋でお待ちください。,なぜ,まで,～までに,誰,2
自動車市場で----、自動車業界はその方針を変えないだろう。,何が起きようとも,どんなに,どこで,いつでも,1
タロウはとても流暢に英語を話す----、電話ではアメリカ人と間違われる。,ので,どちら,～として,もし,1
私たちの家族が2台目の車を所有しているのにはいくつかの----がある。,かどうか,誰,理由,いつ,3
試験に合格するために一生懸命勉強しなければならない学生がたくさんいる。,その～,いつ,どちら,（関係代名詞）,4
歓迎会で会った時、私たちはまるで何年も前からお互いを----ように感じた。,知っていた,知っている,知る,知った,1
