Q,A1,A2,A3,A4,Anum
"""(-----) (-----) enough last night, I felt fine all day today.""",Having slept,,,,0
(-----) your hands prevent you from (-----) a cold.,Washing catching,,,,0
I have not heard him (     ) such a thing.,say,to be said,to say,said,1
Would you mind (give) me some advice about it?,giving,,,,0
My dog is not as (     ) yours.,bigger,biggest,big as,more big,3
"""(     ) my umbrella with me, I ran home in the rain.""",Not having,Having never,Having not,Not had,1
I think (-----) strange (-----) put pineapples on a pizza.,it to,,,,0
I was almost asleep when I heard my name (     ).,to be called,calling,call,called,4
The population of the U.S. is roughly (     ) large as that of Japan.,as two and a half time,two and a half time,two and a half times as,as two and a half times,3
Listening to music makes me (     ) positive.,feeling,to feel,felt,feel,4
She continued to work (-----) (-----) lunch.,after eating,,,,0
"""My grandfather went all the way to see the doctor, (     ) find him absent.""",enough to,only to,in order to,about to,2
"""She grew up and became an astronaut.
She grew up (-----) (-----) an astronaut.""",to become,,,,0
"""I tried (cook) the spaghetti with the recipe, but it tasted bad.""",cooking,,,,0
I forgot to bring my pen. I'm wondering if you could give me something to write (     ).,about,on,by,with,4
Bill looks (     ) healthy than he used to.,least,fewer,little,less,4
I made a (-----) (-----) (-----) to China to study.,decision to go,,,,0
"""(     ) my homework assignment before the deadline, I can take a break now.""",Being submitted,Having submitted,Having been submitted,Being submitting,2
"""(     ) of Major League baseball, I am a great fan of New York Yankees.""",Talking,Discussing,Saying,Arguing,1
"""The woman hated to be asked her age.
The woman hated (-----) (-----) her age.""",being asked,,,,0
They had to keep the (     ) through the weekend.,machines running,machines run,run machines,running machines,1
We tried to calm the (     ).,baby crying,baby cried,crying baby,cried baby,3
Nancy is proud of her son (     ) the inter-high-school tennis championship last year.,having won,to win,winning,won,1
You should avoid (     ) a person after ten at night.,calling,to call,not to call,call,1
It's important for your health (-----) (-----) (-----) too much.,not to eat,,,,0
The hotel was (     ) expensive than I thought it would be.,the most,so,much more,as,3
The movie (-----) me (-----).,saw cried,,,,0
The book is said (     ) in the eighteenth century.,to be published,to have published,to publish,to have been published,4
The quality of the sound (     ) from those speakers shows why they are so expensive.,comes,coming,came,is coming,2
The students remained (     ) in the problem after the lesson.,to interest,interesting,interested,interest,3
