Q,A1,A2,A3,A4,Anum
"I think he is a very intelligent person, ----- many people don’t agree with me.",but,who,for,which,1
"Because he ----- to deliver the package on time, there was nothing to give the boss for her birthday.",lost,missed,failed,quit,3
"There are special seats at the stadium, ----- people can watch games with food and drinks.",which,where,whose,that,2
Jane has a dog ----- has long ears.,what,which,who,whose,2
The chair ----- a cat is sleeping was made in Italy.,on which,which,whose,that,1
Mr. Brett missed the train ----- he was working late.,after,that,until,since,4
"If you ----- me for help, I would have helped you.",asked,had asked,have asked,will ask,2
Our city is now very different from ----- it was twenty years ago.,which,that,why,what,4
He worked hard ----- he could pass the examination.,for,instead,so that,otherwise,3
I wish I ----- so much last night. Now I feel terrible.,hadn’t drunk,hasn’t drunk,won’t drink,wouldn’t drink,1
"----- the personal computer, it would be more difficult for us to contact people living in different time zones.",With,It there are,If it had not been,Were it not for,4
John ----- mistakes on his exam.,didn't make no,made any,made few,didn't make any,4
"Although we met today for the first time, I feel as if you ----- my old friend.",have been,were,seem,would be,2
"----- on time, she would have had dinner with us.",Would Jane be able to leave her office,If Jane is able to leave her office,If Jane were to leave her office,Had Jane been able to leave her office,4
"As ----- as you come back home by ten, you may go out.",late,fast,long,early,3
"----- he listened to his mother, he might not have made such a mistake.",Should,Unless,Had,Supposed,3
"If it ----- for your help, I wouldn't have won the competition.",had not had,had not been,is not,did not,2
I have an uncle ----- lives in Australia.,where,who,which,whom,2
She comes from a country ----- political situation is unstable.,that,its,whose,which,3
"He said that he saw me there, ----- was a lie.",which,whose,that,what,1
"John is 10cm shorter than Bill, ----- 10cm shorter than Tom; therefore John is 20cm shorter than Tom.",whose height,who is,whose was,who cannot be,2
It will be a long time ----- she can write as efficiently as her classmates. She has got a lot of catching up to do.,whether,by,before,ago,3
Do you remember the girl ----- I introduced to you at the party?,when,which,whom,whose,3
"If you ----- to travel across West Africa, you would encounter more than 700 distinct languages.",had,should,were,able,3
This is the only problem ----- I couldn’t answer.,who,whose,that,whom,3
"A: Why aren't you ready to go? B: I'm ready. A: How can that be? It's freezing outside, ----- you're wearing shorts and a T-shirt.",as,yet,for,so,2
"He didn't forget ----- his father had told him, so he didn't get into trouble.",that,what,which,as,2
The pizza ----- Jim made wasn’t so good.,whose,who,that,what,3
"----- that the room is painted yellow, it looks lovely and bright.",Now,Since,Unless,Not,1
"If you ----- this person, please call me.",had seen,will see,see,saw,3
I don’t know the reason ----- he got angry.,what,why,when,which,2
"----- a little more effort, you would have succeeded.",For,But for,With,Owing to,3
That is the bus ----- goes to Chinatown.,where,which,whose,when,2
"“He’s a good skier, isn’t he?""  ""Yes, he really is.  I wish I ----- like him.”",will ski,ski,can ski,could ski,4
"I don’t think she will visit me, but if she ----- while I’m out, tell her more details about our company.",will come,had come,came,should come,4
"If he had listened to her, he ----- such a mistake.",might not have made,would not make,might make,would have made,1
"If I were wealthy, I ----- a ship.",will buy,would buy,can buy,would have bought,2
"If I knew the answer, I ----- you.",will tell,could tell,could have told,can tell,2
"-----, you should always check your answers again.",Whatever easy the test is,Whatever the test is easy,However easy the test is,However the test is easy,3
What bothers me is not what you said ----- the way you said it.,while,because,but,unless,3
It is a rare situation ----- all involved would be happy.,at where,in what,which,in which,4
"If another world war ----- occur, it might be the end of the world.",could,will,should,may,3
"----- his advice, we would never have finished the work on time.",Accepted,Excluding,Not for,Without,4
"A: Do you have much snow in your country? B: No, we ----- have any snow, but windy weather is common.",hardly,only,little,neither,1
Chieko at last found a place ----- she was content to call home.,whom,which,when,what,2
It won’t be long ----- Uncle Walt returns home from his travels.,before,when,after,while,1
Do you remember the castle ----- you went ten years ago?,which,when,what,where,4
"----- I know, we have only two books on the subject in our library.",By far,Far from that,So far,As far as,4
"Make sure you do the homework, ----- you will be in trouble again.",or,then,for,and,1
The time may come soon ----- we will enjoy space travel.,when,where,which,as,1
"If he ----- at the party, it would have been much more enjoyable.",would be,has been,will be,had been,4
Yokohama is the city ----- I was born.,that,when,which,where,4
"From 2006 onwards he worked at the downtown library, ----- he became the director in 2014.",while,where,which,when,2
I can’t forget the day ----- I first met you.,how,where,what,when,4
"----- Mary joined the project team late, her supervisor is confident that she will fit right in.",Except in,Despite,Even though,However,3
"----- course you may take, you are sure to face many difficulties.",Wherever,Whatever,However,Whenever,2
The man speaks as if he ----- a native speaker of English.,would be,had been,were,is,3
You can borrow this book ----- you return it to me by next Friday.,as well as,as good as,as long as,as likely as,3
"Some people say that the Internet is a passing fashion, ----- others believe it is a turning point in human history.",considering,judging from,during,while,4
"If I had known you were here before I left home, I ----- your book with me.",have brought,had brought,would bring,would have brought,4
"If I had known the nature of the examination, I ----- the newspapers of the past several weeks more carefully.",was reading,would have read,had read,had been reading,2
He has been in the hospital for two weeks.  That’s ----- he can’t come.,what,when,why,how,3
"Had it not been for your help, I ----- my life in the attempt.",would lose,would have lost,lost,had lost,2
This is the hospital ----- I was born.,in that,which,in which,which in,3
"That is the position for ----- Mr. Nagano has applied, but a final decision had not yet been made.",that,which,what,whom,2
The main problem for me is ----- I am always sleepy.,when,what,that,which,3
"If Robert ----- about the meeting, I’m sure he would have come.",had known,has known,knew,knows,1
Do you remember the house ----- you spent your childhood years?,where,which,when,who,1
Even the youngest boy ----- seemed to be enjoying the outing.,I spoke to them,who I spoke to them,to whom I spoke to,that I spoke to,4
The students wrote down the teacher’s e-mail address ----- they wouldn’t forget it.,in case,so that,so long,so far,2
