Q,A1,A2,A3,A4,Anum
宗教は----な問題だ。,敏感な、デリケートな,尊敬,独創的な,正直な,1
学校では学生に良い----が期待される。,行い、行為,納得させる,優しい,出席する,1
そのブラウスはあなたのスカートに----ない。,口論する,感謝する,調和する、合う,競争,3
私たちは環境を汚染から----なければならない。,生き残る,抗議する,存在する,保護する,4
彼女は子供の振る舞いに----をした。,許した,引き起こした,恥ずかしい思いをさせる,閉じた,3
この面白い本を貸してくれて----します。,感謝する,許す,扱う,調和する,1
彼女は突然----を出して走り去った。,涙,恥ずかしい思いをさせる,天国,風,1
彼女の話は本当----。,～かなと思う,リラックスする,反応する,受け入れる,1
----お待ちいただけますか？,後者の,瞬間、ちょっとの間,さらなる,前者の,2
消防士たちは燃えている建物から人々を----した。,救助する,維持する,逃げる,生き残る,1
これは私の町で最も----なレストランだ。,価格,高価な,費用,価値,2
まっすぐ----へ進めば大通りに出ます。,以前の,前者の,次の,前方へ,4
彼はスーザンの勤勉さを----した。,納得させる,頼る,称賛する,混ぜる,3
教授についての----は皆を笑わせた。,冗談,起源,根,愚かな,1
私は最近----った。,前方へ,重さがある,高さ,太った,4
その母親は赤ちゃんにとても----。,誕生,優しい,支配,国内の,2
私は熱いお風呂で----するのが好きだ。,満足させる,リラックスする,扱う,感謝する,2
ジョンは皆が行ってしまうまでドアの後ろに----ていた。,保存する,抗議する,隠れる(hid),維持する,3
「affluent」という単語は意味において「rich」に----。,～かなと思う,影響する,微細な,近い,4
----の破壊は深刻な問題だ。,救助,国内の,自然,基本的な,3
いくつかの動物は夜間の----が良い。,視力,敏感な,ため息,神経質な,1
私たちは----沿いを歩き、日没を見た。,警備員,海岸,波,大洋,2
喜んであなたの親切な招待を----します。,確認する,許す,扱う,受け入れる,4
そのグループは難民に財政的----を与えている。,援助,費用,警備員,抗議,1
警察はついにその事件の極めて重要な----を見つけた。,捜索,冗談,手がかり,基本的な,3
"山頂で、木の看板が海抜3,192----という高度を示していた。",マイル,キロメートル,メートル,実に,3
私たちがこの問題について話し合うことは----だ。,歓呼,捜索された,必要な,費用,3
私はローマの----で彼女に会ったのを覚えている。,どこでも,どこかで,どこでも,中心,2
ロンドンは金融サービスの世界的----の一つだ。,会社,中心,底,真ん中,2
私は血を----て気分が悪くなった。,原因,瞬間,光景,重さ,3
彼は服を詰めて旅行の----をした。,着く,やめる,準備する,捜索する,3
運動は私の----の日課の一部になった。,毎日の,神秘,行い,普遍的な,1
多くの人々がパーティーに----した。,貿易した,出席した,所属した,混ぜた,2
この単語の----の意味を知っていますか？,本来の,安い,生の,裸の,1
新聞に広告を出すのに2万ドル----。,出席した,混ぜた,（費用が）かかる,貿易した,3
タヒチは地上の----だと言う人もいる。,瞬間,前方へ,天国、楽園,次の,3
その二国は友好関係を----している。,救助した,存在した,維持した,生き残った,3
彼は英語のエッセイのために気の利いた----を考えようとした。,誕生,販売,題名,生の,3
----好きなところに座りなさい。,正確に,どこにも～ない,どこでも,ほとんど,3
この家の----の持ち主はまだ生きている。,前方へ,以前の,さらなる,扱い,2
植物は土壌から栄養分を----する。,いたずら,吸収する,頼る,所属する,2
学校はCOVID-19のために----された。,近い,密接に,閉鎖された,閉鎖すること,3
彼女は試験について----になっていた。,吊るした,価値,神経質な,準備された,3
そんな間違いをするなんて私は----だった。,愚かな,基本的な,いつもの,勇敢な,1
彼はジャングルでの----についての本を書いた。,裸の,冒険,封筒,誕生,2
私の姉は先月双子を----した。,独創的な,起源,根,誕生,4
棚にあるあの----い本は辞書だ。,厚い,太った,高さ,重さ,1
決定は不正確な----に基づいて下された。,封筒,情報,価値,中心,2
この家は20世紀----に建てられた。,真ん中,どこかで,どこでも,中心,1
彼は父親が----な警察官であることを誇りに思っている。,尊敬,正直な,愚かな,勇敢な,4
"「その船の重さは5,000----だ。」",ダース,セント,トン,メートル,3
彼女は電話で彼の声だと----った。,扱った,認識した、わかった,口論した,許した,2
彼らはその病気の治療法を----した。,探した,ため息をついた,やめた,着いた,1
カーネギー氏は私に良い仕事を----た。,申し出た,称賛した,歓呼した,頼った,1
彼女は歓迎して私に手を----った。,保護した,振った,呼吸した,隠れた,2
今日は----の波が高い。,底,どこでも,大洋、海,洞窟,3
彼は数----で私たちと合流するだろう。,実に,メートル,分,後者の,3
卵の一つがカウンターの端から----落ちた。,転がった,所属した,頼った,飛び込んだ,1
あなたは喫煙を----すべきだ。,許す,愚かな,飲み込む,やめる,4
彼らの誰も戦争を----なかった。,生き残った,援助した,存在した,救助した,1
彼は服から----を払い落とした。,洞窟,海岸,砂,波,3
私たちは来週までに研究論文の----を選ばなければならない。,会社,トピック,価格,コピー,2
彼女がしたことについて、私は決して彼女を----すことができなかった。,貿易する,吸収する,探す,許す,4
プログラムをインストールした後、----の方法でコンピュータを起動してください。,通常の,援助,支配,保護する,1
彼は来ると思うが、----確信しているわけではない。,近い,微細な,全く,ほとんど,3
彼は私の姉と----した。,所属した,結婚した,冗談,吸収された,2
この辺りに----いレストランはありますか？,価格,費用,安い,価値,3
一番近い町は30----離れている。,分,トン,セント,キロメートル,4
牛や羊は----を食べる。,洞窟,泥,砂,草,4
その知らせを聞いて、彼女は安堵の----をついた。,準備した,神経質な,ため息をついた,優しい,3
セントラルヒーティングを----するにはこのダイヤルを回します。,調節する、支配する,導く,普遍的な,必要な,1
そんな風に文句を言っても----（どこへもたどり着かない）。,どこでも,どこへも～ない,いつでも,どんなに～でも,2
この建物の入り口にはいつも----がいる。,援助,抗議,救助,警備員,4
----な違いに悩まされるな。,薄い,密接に,微細な,近い,2
ホテルに電話して予約を----します。,感謝する,確認する,受け入れる,調和する,2
喫煙が健康に----することは誰もが知っている。,影響する,確認する,引き起こす,反応する,1
----がないので、この缶に何が入っているかわからない。,ラベル,独創的な,謎,起源,1
幸福は----な関心事のトピックだ。,申し出る,挨拶する,称賛する,普遍的な,4
この車は時速150----出せる。,分,マイル,ほとんど,トン,2
私たちの仕事は熱帯雨林を----することだ。,抗議する,呼吸する,生き残る,保存する、保護する,4
私はこのシャツを----で買った。,セール,価値,安い,費用,1
その----にはコウモリが住んでいる。,砂,草,洞窟,大洋,3
生産制限の合意を受けて、石油----は確実に上昇するだろう。,必要な,価格,高価な,会社,2
彼は----を辞めると言って私たちを驚かせた。,価値,自然,会社,新聞,3
彼は夕方気分が悪かったが、----日は良くなっていた。,さらなる,次の,中心の,前方へ,2
飛行機は午前9時----に離陸した。,正確に,かなり,正確な,全く,1
彼女は手紙を----に入れた。,情報,ラベル,封筒,コピー,3
この踊りは沖縄に----がある。,真ん中,起源,生の,中心,2
私たちは息子が家の車を使うことを----した。,確認した,許可した,認識した,調和した,2
会議室へご----します。,申し出る,許す,飛び込む,案内する、導く,4
彼らはその問題について----した。,試合,競争,光景,口論,4
あなたが望むところなら----へでも行きます。,どこでも,全く,かなり,どんなに～でも,1
ホールは----満員だ。,満足した,閉じた,ほとんど,維持した,3
彼女は18世紀----に生まれた。,前方へ,中心の,後半の,さらなる,2
----開始の合図はしばしば銃の発砲だ。,扱い,天国,口論,レース,4
私は釘でジャケットを----ってしまった。,巻いた,引き起こした,閉じた,破った,4
----寒くても、彼はオフィスのドアを開けたままにしている。,正確に,どんなに～でも,いつでも,どこでも,2
その会社はロンドン----の新しいオフィスに移転する。,後半の,中心の,さらなる,前方へ,2
何千もの人々が差別に対して----した。,救助した,逃げた,抗議した,隠れた,3
スタジアムのファンから大きな----が上がった。,神秘,挨拶する,勇敢な,歓声,4
----なイギリスの朝食とはどのようなものですか？,正直な,冒険,独創的な,典型的な,4
彼らは海底の遺物を探して----った。,行う,許す,納得させる,潜る,4
そのカブトムシは約15----の長さだ。,トン,センチメートル,マイル,メートル,4
