"Q","A1","A2","A3","A4","Anum"
"""I have felt sick all day."" ""You Should see a  -----""","engineer","clerk","sir","doctor","4"
"She kept ----- working until late at night.","on","with","in","from","1"
"Tie down anything that might blow away in the ------.","storm","ray","tempreature","shadow","1"
"The basket is ----- of apples.","less","full","empty","several","2"
"Will you be ----- to come to a meeting next week?","actually","able","especially","hardly","2"
"Have you made ----- your neighbors yet?","friends with","up","me","sure of","1"
"My friends ----- my hairstyle.","kept in touch with","kept up with","made fun of","made up their mind","3"
"There has been a sudden rise in ----- over the past few days.","atmosphere","tempreature","branch","earthquake","2"
"We can buy ----- fish in this market.","professional","fresh","clear","wise","2"
"We hired a ----- in Rome.","desert","field","guide","storm","3"
"Cherry ----- are at their best now in the mountains.","fields","shadows","branches","blossoms","4"
"It is a ----- that smoking is a danger to health.","authority","clear","fact","wise","3"
"She wore a ring with a -----.","jewel","excited","silver","surprising","1"
"She went to New York to become a musical -----.","doctor","anoouncer","passenger","actor","4"
"The earth's ----- is many miles thick.","storm","tempreature","atmosphere","feature","3"
"I ----- a careless mistake.","did","achieved","got","made","4"
"He read the ----- book, not just a part of it.","whole","full","several","extra","1"
"Let's meet on Friday if it's ----- of you.","convenient","femiliar","empty","precious","1"
"I think you made a ----- choice.","truth","meaning","wise","several","3"
"You must put your textbook ----- in your bag before taking the exam.","off","up","away","in","3"
"Some bacteria live on ----- plants and animals.","dead","aware","unable","unlike","1"
"""Is this your car, -----?"" asked the policeman. She said ""Yes, it's mine.""","certain","yourself","sir","madam","4"
"No one can ----- him at chess.","bite","beat","hit","deliver","2"
"Toyota introduced the latest ----- at the car show.","model","atmosphere","blossom","guide","1"
"She was ----- of the serious situation.","angry","aware","hit","sick","2"
"A lot of people try to ----- peace in the region.","fill","put","pay","bring","4"
"It was ----- to sleep because of the noise.","hardly","able","impossible","almost","3"
"I haven't made ------ whether I will go skiing this weekend?","up my mind","in torch with","fun of","sure of","1"
"It is important for us to control -----.","yourself","oneself","angry","ourselves","4"
"My mother got ----- with me for breaking her favorite cup.","angry","weak","beaten","unfair","1"
"----- your hand over your mouth when you cough.","Bring","Clear","Mind","Put","4"
"Are you ----- with this type of machine?","wise","lucky","familiar","fresh","3"
"I like fruits, ----- ripe ones.","able","possible","especially","hardly","3"
"Would you ----- exchanging seats? I prefer the aisle seat.","put","bring","mind","lend","3"
"Keep this lesson -----mind when you go abroad in the future.","with","in","at","for","2"
"Poverty brings ----- many social problems.","about","up","at","back","1"
"They were ----- to hear the news.","surprising","unlike","surprised","unknown","3"
"The fine weather kept ----- for three days.","in","with","up","from","3"
"The salesperson described to us the car's many -----.","earthquakes","branches","features","sources","3"
"They went to the forest to ----- wild birds.","dead","hire","hunt","certain","3"
"There was a ladder ----- against the wall.","ringing","pulling","leaning","picking","3"
"I was ----- with work and wanted to do something different.","boring","interesting","interested","bored","4"
"He is the highest ----- on modern architecture.","mind","wise","authority","professional","3"
"My grandfather spent his ----- during wartime.","pattern","board","youth","shape","3"
"#NAME?","Almost","Especially","Hardly","Perhaps","4"
"Except for one old lady, the bus was -----.","full","precious","empty","equal","3"
"You should make ----- the facts before you write something.","sure of","up your mind","friends with","fun of","1"
"Southern California has a large -----.","fail","actually","suffer","desert","4"
"He is a distant ----- of mine.","leader","youth","relative","clerk","3"
"Nobody paid the ----- attention to me.","several","whole","less","least","4"
"Put ----- your hand when you ask a question.","on","up","away","back","2"
"I'm ----- in working abroad.","unable","interested","unlike","interesting","2"
"Can I ----- a suggestion?","keep","lean","pick","make","4"
"The building cast a long ----- on the field.","shadow","bloom","tempreature","desert","1"
"You can have coffee at no ----- change.","equal","extra","convenient","several","2"
"When camping, make sure you find a clean ----- of drinking water.","ray","tempreature","source","model","3"
"I ----- a letter from my cousin in Hawaii.","rang","pulled","received","swung","3"
"He looks like a fool, but ----- he is not.","actually","especially","hardly","almost","1"
"I asked him to ----- me his dictionaly.","pay","borrow","receive","lend","4"
"It was brave of you to tell her the -----.","truth","precious","mind","authority","1"
"She sat on the desk ----- her legs.","digging","borrowing","swinging","lending","3"
"""Report back to me in an hour, Paul."" ""Yes, -----.""","passenger","sir","certain","youth","2"
"He ----- quiet throughout the meeting.","rang","kept","pulled","made","2"
"I saw a UFO last night, It had a round -----.","shape","silver","pattern","surprising","1"
"We are now ----- from diseases that didn't exist 100 years ago.","failing","suffering","keeping","injuring","2"
"I'll ----- you by email.","keep an eye on","keep in touch with","keep up with","keep on","2"
"In 1945 ----- all of Africa was ruled by Europeans.","able","hardly","possible","almost","4"
"I found the conclusion of his book very -----.","interested","surprised","surprisingly","interesting","4"
"There are ----- books on the table.","wise","empty","several","perfectly","3"
"She has a very good ----- for people's names.","extra","fear","memory","reason","3"
"----- you, I'm not a great dancer.","Unfair","Certain","Unlike","Unknown","3"
"He was brought ----- to respect his parents.","about","in","up","back","3"
"She has great strength of -----.","certain","aware","hit","spirit","4"
"The water of the lake was very -----.","meaning","clear","full","wise","2"
"The chemical symbol ""Ag"" stands for -----.","aluminium","gold","silver","copper","3"
"Can you explain the ----- of this word?","convenient","fresh","meaning","memory","3"
"The professor ----- to prove his theory.","failed","suffered","injured","leaned","1"
"I got the inner ----- of my bicycle tire replaced.","board","tube","shape","patter","2"
"We are pleased to ----- the opening of a new shop in Kyoto.","announcing","announcer","announcement","announce","4"
"#NAME?","Passengers","Doctors","Clerks","Relatives","1"
"He put a wallet ----- the pocket.","off","up","in","out","3"
