Q_ja,A1_ja,A2_ja,A3_ja,A4_ja,Anum
「一日中気分が悪いんです。」「----- を受診すべきです。」,技師,事務員,旦那,医者,4
彼女は夜遅くまで ----- 働き続けました。,～の上で,～と一緒に,～の中に,～から,1
----- で飛ばされそうなものはすべて固定してください。,嵐,光線,温度,影,1
そのカゴはリンゴで ---- です。,より少ない,いっぱいの,空の,いくつかの,2
来週、会議に来て ---- ですか？,実際に,できる,特に,ほとんど～ない,2
隣人ともう ----- なりましたか？,～と友達になる,上へ,私を,～を確信している,1
私の友達は私の髪形を-----。,連絡を取り合う,遅れずについていく,,,3
過去数日間で ----- が急増しています。,大気,温度,枝,地震,2
この市場では-----魚を買うことができます。,専門家,新鮮な,明確,賢い,2
私たちはローマで ----- を雇いました。,砂漠,野原,案内人,嵐,3
山の桜は今、----- が見頃です。,,,枝,花々,4
喫煙が健康にとって危険であるというのは ----- です。,権威,明確,事実,賢い,3
彼女は ----- の指輪をしていました。,宝石,興奮した,銀,驚くべき,1
彼女はミュージカルの ----- になるためにニューヨークへ行きました。,医者,アナウンサー,乗客,俳優,4
地球の ----- は何マイルもの厚さがあります。,嵐,温度,大気,特徴,3
私は不注意な間違いを -----。,した,,,作った,4
彼は ----- 本を読みました。一部だけではありません。,全ての,いっぱいの,いくつかの,余分な,1
金曜日に会いましょう、もし ----- でしたら。,都合がよい,よく知っている,空の,貴重な,1
私はあなたが ----- 選択をしたと思います。,真実,意味,賢い,いくつかの,3
試験を受ける前に、教科書をカバンに-----必要があります。,離れて,上へ,離れて,～の中に,3
いくつかのバクテリアは、-----な植物や動物に生息しています。,死んだ,気づいている,できない,～と違って,1
「これはあなたの車ですか、-----？」と警察官が尋ねた。彼女は「はい、私のものです」と言いました。,確信,あなた自身,旦那,,4
誰もチェスで彼に-----ことはできません。,噛む,打ち勝つ,打つ,配達する,2
トヨタは自動車ショーで最新の-----を発表しました。,モデル,大気,花が咲く,案内人,1
彼女は深刻な状況に----していた。,怒り,気づいている,打つ,病気の,2
多くの人々が地域の平和を-----しようとしています。,満たす,置く,支払う,もたらす,4
うるさくて眠るのが-----でした。,ほとんど～ない,できる,不可能,ほとんど,3
今週末スキーに行くかどうか、まだ-----していません。,決心する,連絡を取る,～をからかう,～を確信している,1
私たちにとって-----をコントロールすることは重要です。,あなた自身,自分自身,怒り,私たち自身,4
私の母は、私がお気に入りのカップを割ったので、私に -----。,怒り,弱い,,不公平,1
咳をするときは、口元に手を-----。,もたらす,はっきりさせる,心,置く,4
あなたはこの種の機械を-----ですか？,賢い,幸運な,よく知っている,新鮮な,3
私は果物が好きです、-----熟したもの。,できる,可能な,特に,ほとんど～ない,3
席を交換するのを-----ですか？通路側の席の方がいいです。,置く,もたらす,心,貸す,3
将来海外に行くときには、この教訓を心に-----。,～と一緒に,～の中に,～で,～のために,2
貧困は多くの社会問題を-----。,～について,上へ,～で,返して,1
彼らはその知らせを聞いて-----でした。,驚くべき,～と違って,驚いた,未知,3
良い天気が3日間-----続いた。,～の中に,～と一緒に,上へ,～から,3
セールスマンは私たちに車の多くの-----について説明しました。,地震,枝,特徴,源,3
彼らは野鳥を-----ために森へ行った。,死んだ,雇う,狩る,確信,3
壁に梯子が-----立てかけてあった。,鳴っている,引いている,もたれている,拾っている,3
私は仕事が-----なので、何か違うことをしたかった。,退屈な,興味深い,興味がある,退屈した,4
彼は現代建築における最高の-----だ。,心,賢い,権威,専門家,3
私の祖父は戦時中に-----を過ごした。,模様,板,若者,形,3
-----雨が降るだろう。,ほとんど,特に,ほとんど～ない,おそらく,4
ひとりのおばあさんを除いて、バスは-----だった。,いっぱいの,貴重な,空の,等しい,3
何かを書く前に、事実を-----するべきだ。,～を確信している,決心する,～と友達になる,～をからかう,1
南カリフォルニアには大規模な-----がある。,失敗する,実際に,苦しむ,砂漠,4
彼は私の-----である。,指導者,若者,親戚,事務員,3
誰も私に-----な注意を払わなかった。,いくつかの,全ての,より少ない,最も少ない,4
質問するときは手を-----なさい。,～の上で,上へ,離れて,返して,2
私は海外での仕事に-----があります。,できない,興味がある,～と違って,興味深い,2
提案を-----もいいですか？,保つ,もたれる,拾う,作る,4
その建物は畑に長い-----を落とした。,影,花が咲く,温度,砂漠,1
コーヒーを無料で-----できる。,等しい,余分な,都合がよい,いくつかの,2
キャンプするときは、きれいな-----の飲料水を見つけるようにしてください。,光線,温度,源,モデル,3
ハワイのいとこから手紙を-----。,鳴った,引いた,受け取った,揺らした,3
彼は愚かに見えるが、-----そうではない。,実際に,特に,ほとんど～ない,ほとんど,1
彼に辞書を-----ように頼んだ。,支払う,借りる,受け取る,貸す,4
彼女に-----を伝えたのは勇敢だった。,真実,貴重な,心,権威,1
彼女は足を-----て机に座った。,掘っている,借りること,揺れている,貸すこと,3
「1時間以内に私に報告して、ポール」「はい、-----。」,乗客,旦那,確信,若者,2
彼は会議中ずっと-----静かだった。,鳴った,保った,引いた,作った,2
昨夜UFOを見た。それは丸い-----だった。,形,銀,模様,驚くべき,1
私たちは今、100年前には存在しなかった病気に-----いる。,失敗すること,苦しんで,保つこと,けがをさせること,2
メールであなたに-----する。,見張る,連絡を取り合う,遅れずについていく,～し続ける,2
1945年には、アフリカ全土がヨーロッパ人によって-----された。,できる,ほとんど～ない,可能な,ほとんど,4
彼の本の結論は非常に-----ことだと分かった。,興味がある,驚いた,驚くほど,興味深い,4
テーブルの上に-----冊の本がある。,賢い,空の,いくつかの,完璧に,3
彼女は人の名前をとてもよく-----いる。,余分な,恐れ,記憶,理由,3
-----あなた、私は素晴らしいダンサーではありません。,不公平,確信,～と違って,未知,3
彼は両親を尊敬するように-----られた。,～について,～の中に,上へ,返して,3
彼女は-----力が強い。,確信,気づいている,打つ,精神,4
湖の水はとても-----だった。,意味,明確,いっぱいの,賢い,2
化学記号「Ag」は-----を表す。,アルミニウム,金,銀,銅,3
この理論の-----を説明できますか？,都合がよい,新鮮な,意味,記憶,3
